T1,ma,P4CZ10507
T2,ma,P2548
T3,ma,P4CZ10507
T4,ma,P4CZ10508
T5,ma,P2548
T7,ma,P6117
T8,ma,P4CZ54054
T9,ma,P7374
T10,ma,P4954
T11,ma,P4954
T12,ma,P4954
T13,ma,P4954
T14,ma,P4954
T15,ma,P4954
T17,ma,P4954
T3052,ma,P8232
T18,ma,P4954
T19,ma,P4954
T20,ma,P4954
T21,ma,P4954
T22,ma,P4954
T23,ma,P4954
T24,ma,P4954
T26,ma,P4954
T27,ma,P4954
T28,ma,P4954
T32,ma,P4CZ10509
T33,ma,P4CZ10509
T34,ma,P4CZ16904
T35,ma,P4CZ10509
T37,ma,P6119
T38,ma,P7588
T40,ma,P7588
T41,ma,P6126
T42,ma,P4906
T43,ma,P4906
T3053,ma,P7875
T44,ma,P4906
T45,ma,P6126
T46,ma,P6126
T47,ma,P3453
T48,ma,P7599
T49,ma,P4CZ10516
T51,ma,P8182
T51,ma,P8211
T52,ma,P8182
T52,ma,P8211
T52,ma,P5659
T53,ma,P753
T53,ma,P3388
T54,ma,P8182
T54,ma,P3388
T57,ma,P7374
T58,ma,P1518
T59,ma,P1520
T3055,ma,P8200
T60,ma,P1051
T2843,ma,P207
T3057,ma,P207
T3043,ma,P3264
T3058,ma,P4849
T310,ma,P4CZ10523
T311,ma,P8335
T312,ma,P4CZ10526
T313,ma,P3299
T314,ma,P4CZ10527
T316,ma,P3085
T317,ma,P3299
T318,ma,P4CZ10530
T320,ma,P6120
T322,ma,P4CZ10532
T324,ma,P2CN574
T325,ma,P3299
T326,ma,P4CZ10534
T327,ma,P2CN574
T328,ma,P4004
T329,ma,P3455
T330,ma,P4CZ10537
T331,ma,P10154
T332,ma,P8895
T333,ma,P4CZ10540
T334,ma,P4CZ10541
T335,ma,P4CZ10543
T336,ma,P4954
T337,ma,P8335
T338,ma,P4CZ10544
T346,ma,P4CZ10546
T348,ma,P4CZ10536
T349,ma,P8335
T350,ma,P8335
T351,ma,P8335
T217,ma,P8335
T353,ma,P4956
T354,ma,P8335
T355,ma,P8895
T356,ma,P1GS149649
T357,ma,P1GS149649
T358,ma,P3292
T359,ma,P3292
T156,ma,P3292
T361,ma,P3292
T362,ma,P4CZ10550
T363,ma,P3292
T364,ma,P3291
T365,ma,P3289
T366,ma,P4CZ10551
T368,ma,P3287
T369,ma,P3287
T370,ma,P3287
T371,ma,P4024
T372,ma,P44
T373,ma,P44
T374,ma,P00EGS1016642
T375,ma,P00EGS1016642
T376,ma,P4CZ10554
T377,ma,P7752
T347,ma,P4CZ10555
T379,ma,P4CZ10543
T380,ma,P4CZ10528
T381,ma,P3299
T382,ma,P3299
T383,ma,P3299
T384,ma,P3299
T385,ma,P3299
T386,ma,P3299
T387,ma,P3299
T388,ma,P3299
T389,ma,P3299
T390,ma,P3299
T391,ma,P4CZ10577
T419,ma,P8335
T420,ma,P4CZ10555
T421,ma,P4CZ10560
T422,ma,P3292
T424,ma,P3379
T425,ma,P7868
T392,ma,P4CZ10563
T364,ma,P4CZ10567
T394,ma,P4CZ10568
T395,ma,P8335
T396,ma,P8335
T399,ma,P4CZ10566
T402,ma,P4CZ10571
T403,ma,P9843
T404,ma,P8175
T413,ma,P8248
T347,ma,P3085
T409,ma,P3379
T426,ma,P47
T427,ma,P2956
T428,ma,P3291
T429,ma,P8152
T430,ma,P3299
T431,ma,P4CZ10575
T432,ma,P4CZ10574
T436,ma,P3287
T437,ma,P3287
T438,ma,P44
T439,ma,P4CZ10576
T440,ma,P3374
T441,ma,P2956
T442,ma,P4CZ10577
T445,ma,P4CZ10579
T446,ma,P4CZ10580
T447,ma,P5659
T448,ma,P3292
T453,ma,P3287
T454,ma,P4CZ15073
T358,ma,P1GS14003
T456,ma,P00EGS1016642
T457,ma,P4CZ15074
T459,ma,P4CZ15075
T460,ma,P4CZ10534
T461,ma,P00KG02663
T462,ma,P4CZ15076
T466,ma,P4CZ15079
T467,ma,P7217
T468,ma,P2CN574
T469,ma,P2CN574
T470,ma,P10154
T471,ma,P10154
T473,ma,P10154
T474,ma,P3085
T475,ma,P4CZ15081
T476,ma,P7603
T474,ma,P3216
T64,ma,P4CZ15082
T65,ma,P4CZ15082
T67,ma,P4CZ15084
T68,ma,P3085
T69,ma,P3209
T70,ma,P4CZ15084
T72,ma,P4CZ15083
T73,ma,P4CZ15084
